Object,ObjectType
CRMOnline.dbo.centric_method,USER_TABLE
CRMOnline.dbo.sysdiagrams,USER_TABLE
CRMOnline.dbo.msfp_project,USER_TABLE
CRMOnline.dbo.msfp_question,USER_TABLE
CRMOnline.dbo.msfp_questionresponse,USER_TABLE
CRMOnline.dbo.msfp_satisfactionmetric,USER_TABLE
CRMOnline.dbo.msfp_survey,USER_TABLE
CRMOnline.dbo.msfp_surveyinvite,USER_TABLE
CRMOnline.dbo.msfp_surveyresponse,USER_TABLE
CRMOnline.dbo.msfp_unsubscribedrecipient,USER_TABLE
CRMOnline.dbo.msdyn_answer,USER_TABLE
CRMOnline.dbo.msdyn_question,USER_TABLE
CRMOnline.dbo.msdyn_questionresponse,USER_TABLE
CRMOnline.dbo.msdyn_survey,USER_TABLE
CRMOnline.dbo.msdyn_surveyinvite,USER_TABLE
CRMOnline.dbo.msdyn_surveyresponse,USER_TABLE
CRMOnline.dbo.account,USER_TABLE
CRMOnline.dbo.activityparty,USER_TABLE
CRMOnline.dbo.activitypointer,USER_TABLE
CRMOnline.dbo.annotation,USER_TABLE
CRMOnline.dbo.centric_accounteducationtype,USER_TABLE
CRMOnline.dbo.centric_educationcharacteristics,USER_TABLE
CRMOnline.dbo.centric_educationtype,USER_TABLE
CRMOnline.dbo.centric_methodusage,USER_TABLE
CRMOnline.dbo.centric_productusage,USER_TABLE
CRMOnline.dbo.connection,USER_TABLE
CRMOnline.dbo.connectionrole,USER_TABLE
CRMOnline.dbo.Connectionroleassociation,USER_TABLE
CRMOnline.dbo.Connectionroleobjecttypecode,USER_TABLE
CRMOnline.dbo.contact,USER_TABLE
CRMOnline.dbo.email,USER_TABLE
CRMOnline.dbo.opportunity,USER_TABLE
thas_Analytics.dbo.wau_per_stream_with_content,USER_TABLE
thas_Analytics.dbo.mau_per_assignment,USER_TABLE
thas_Analytics.dbo.dau_per_application,USER_TABLE
thas_Analytics.dbo.dau_per_application_brin_filtered,USER_TABLE
thas_Analytics.dbo.dau_per_assignment_attempt_counts,USER_TABLE
thas_Analytics.dbo.dau_per_brin,USER_TABLE
thas_Analytics.dbo.dau_per_method,USER_TABLE
thas_Analytics.dbo.dau_per_stream,USER_TABLE
thas_Analytics.dbo.dau_per_stream_per_brin,USER_TABLE
thas_Analytics.dbo.dau_per_stream_with_content,USER_TABLE
thas_Analytics.dbo.mau_per_application,USER_TABLE
thas_Analytics.dbo.mau_per_application_brin_filtered,USER_TABLE
thas_Analytics.dbo.mau_per_assignment_attempt_counts,USER_TABLE
thas_Analytics.dbo.mau_per_brin,USER_TABLE
thas_Analytics.dbo.mau_per_method,USER_TABLE
thas_Analytics.dbo.mau_per_stream,USER_TABLE
thas_Analytics.dbo.mau_per_stream_per_brin,USER_TABLE
thas_Analytics.dbo.mau_per_stream_with_content,USER_TABLE
thas_Analytics.dbo.rollup_per_actor_monthly,USER_TABLE
thas_Analytics.dbo.wau_per_application,USER_TABLE
thas_Analytics.dbo.wau_per_application_brin_filtered,USER_TABLE
thas_Analytics.dbo.wau_per_assignment_attempt_counts,USER_TABLE
thas_Analytics.dbo.wau_per_brin,USER_TABLE
thas_Analytics.dbo.wau_per_method,USER_TABLE
thas_Analytics.dbo.wau_per_stream,USER_TABLE
thas_Analytics.dbo.wau_per_stream_per_brin,USER_TABLE
thas_Analytics.dbo.View_Levering,VIEW
BI_PRD_Metadata.Audit.Areas,USER_TABLE
BI_PRD_Metadata.Audit.ProcessError,USER_TABLE
BI_PRD_Metadata.dbo.AuditProcessError,SQL_STORED_PROCEDURE
BI_PRD_Metadata.Audit.Batch,USER_TABLE
BI_PRD_Metadata.Audit.Packages,USER_TABLE
BI_PRD_Metadata.Audit.View_Audit_Packages,VIEW
BI_PRD_Metadata.ETL.Areas,USER_TABLE
BI_PRD_Metadata.ETL.DataLayers,USER_TABLE
BI_PRD_Metadata.ETL.Jobs,USER_TABLE
BI_PRD_Metadata.ETL.Packages,USER_TABLE
BI_PRD_DWH.dm.DimRelatie,USER_TABLE
BI_PRD_DWH.dwh.Artikel,USER_TABLE
BI_PRD_DWH.dbo.View_Datum_SchoolYearToDate,VIEW
BI_PRD_DWH.dwh.OrderKop,USER_TABLE
BI_PRD_DWH.dwh.OrderRegel,USER_TABLE
BI_PRD_DWH.dm.FctOnderwijsLeerjaarLeerbehoefte,USER_TABLE
BI_PRD_DWH.dm.FctOnderwijs,USER_TABLE
BI_PRD_DWH.dwh.Boekenlijst,USER_TABLE
BI_PRD_DWH.dwh.MethodeMarkt,USER_TABLE
BI_PRD_DWH.dwh.TitelBestand,USER_TABLE
BI_PRD_DWH.dbo.View_DimProjectStructuur,VIEW
BI_PRD_DWH.dm.FctProjectAnalyse,USER_TABLE
BI_PRD_DWH.dbo.View_DimCrmAccount,VIEW
BI_PRD_DWH.dwh.Verkoopkans,USER_TABLE
BI_PRD_DWH.dwh.OrganisatiesDuo,USER_TABLE
BI_PRD_DWH.dwh.RelatiesDuo,USER_TABLE
BI_PRD_DWH.dm.FctBoekenlijst_Methode,USER_TABLE
BI_PRD_DWH.tmp.GebruikPO_OudeMethodes,USER_TABLE
BI_PRD_DWH.dm.FctBoekenlijst_Methode_TSH,USER_TABLE
BI_PRD_DWH.dbo.FctOnderwijsTweetaligVO,VIEW
BI_PRD_DWH.dbo.View_Boekenlijst_Response_Historisch,VIEW
BI_PRD_DWH.dwh.Gebruik_Methode_PO,USER_TABLE
BI_PRD_DWH.dwh.Gebruik_Methode_PO_bup,USER_TABLE
BI_PRD_DWH.dwh.Onderwijs,USER_TABLE
BI_PRD_DWH.dbo.View_AanbestedingsRelatieNummers,VIEW
BI_PRD_DWH.dbo.View_AanbestedingsDigiDeliveryID,VIEW
BI_PRD_DWH.dm.DimContactPersoon,USER_TABLE
BI_PRD_DWH.dm.DimCrmAccount,USER_TABLE
BI_PRD_DWH.dm.FctBoekenlijst_EAN,USER_TABLE
BI_PRD_DWH.dm.DimMethodeMarkt,USER_TABLE
BI_PRD_DWH.dm.FctOnderwijsLeerjaar,USER_TABLE
BI_PRD_DWH.dbo.View_RelatieHierachie,VIEW
BI_PRD_DWH.dbo.View_LeerbehoefteLocatiePotentieel_Zuiver,VIEW
BI_PRD_DWH.dbo.View_QueryVK_NU_VRGBO,VIEW
BI_PRD_DWH.dm.FctActiviteit,USER_TABLE
BI_PRD_DWH.dbo.View_ActiviteitenDoor,VIEW
BI_PRD_DWH.dbo.View_DimArtikelType,VIEW
BI_PRD_DWH.dm.FctFactuurOmzetDetail,USER_TABLE
BI_PRD_DWH.dm.DimArtikel,USER_TABLE
BI_PRD_DWH.dm.Dimgeneriekemethode,USER_TABLE
BI_PRD_DWH.dm.DimProjectStructuur,USER_TABLE
BI_PRD_DWH.dwh.BedrijfsFunctie,USER_TABLE
smi_sandbox.smi.ConnectionOpportunity,USER_TABLE
BI_PRD_DWH.dbo.View_QueryVK_DatumNU,VIEW
BI_PRD_DWH.dbo.View_DimLeerbehoefte,VIEW
BI_PRD_DWH.hlp.ConnectionOpportunity,USER_TABLE
BI_PRD_DWH.dbo.View_Bellijst,VIEW
BI_PRD_DWH.dm.DimDatum,USER_TABLE
BI_PRD_DWH.dbo.View_Contact_Adres,VIEW
BI_PRD_DWH.dbo.View_FctBoekenlijst_VO_Methode_2017,VIEW
BI_PRD_DWH.dwh.Opleidingen,USER_TABLE
BI_PRD_DWH.dbo.View_DimGeneriekMethode,VIEW
BI_PRD_DWH.dbo.View_Boekenlijst_Response,VIEW
BI_PRD_DWH.dbo.View_DimCrmAccountKort,VIEW
BI_PRD_DWH.dbo.View_Carmel_VK,VIEW
BI_PRD_DWH.dm.hub_CRMFeedDoelgroepData,USER_TABLE
BI_PRD_DWH.dbo.View_Carmel_Doelgroep,VIEW
BI_PRD_DWH.dbo.View_FctVerkoopkans_2016_2017_NU,VIEW
BI_PRD_DWH.dbo.View_Opleidingen,VIEW
BI_PRD_DWH.dm.DimLeerbehoefte,USER_TABLE
BI_PRD_DWH.dbo.View_Boekenlijst_Response_laatste,VIEW
BI_PRD_DWH.dbo.FctOnderwijsLeerjaarLeerbehoefteMethode_VO,VIEW
BI_PRD_DWH.dm.FctBoekenlijst_MethodeEstimate,USER_TABLE
BI_PRD_DWH.dbo.View_DimRelatie_Locaties,VIEW
BI_PRD_DWH.dm.hub_CRMFeedWebclickToOpportunity,USER_TABLE
BI_PRD_DWH.dbo.View_Connection,VIEW
BI_PRD_DWH.dbo.View_ConnectionBestContact,VIEW
BI_PRD_DWH.dbo.View_ConnectionContactLabel,VIEW
BI_PRD_DWH.dm.hub_CRMFeedConnections,USER_TABLE
BI_PRD_DWH.dwh.CrmPersoon,USER_TABLE
BI_PRD_DWH.dwh.contact,USER_TABLE
BI_PRD_DWH.hlp.DoelgroepData,USER_TABLE
BI_PRD_DWH.dbo.View_ContactsDirectie,VIEW
BI_PRD_DWH.dbo.View_QueryVK_NU_VRGVO,VIEW
BI_PRD_DWH.dbo.View_Account360_bkl_2020_EAN,VIEW
BI_PRD_DWH.dwh.Activiteit,USER_TABLE
BI_PRD_DWH.dbo.FctOnderwijsLeerjaarLeerbehoefteMethode_PO,VIEW
